repo,stars,forks,pull_requests,pScore,pScore_normalized,popular,s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
twill,69,70,30,1039,0.012560293033208,1,4,4.0,2,0.0,2,0.3333333333333333,2,4,1.0,2.0,0.5,twill,17,0,0.0,0.0
twill,69,70,30,1039,0.012560293033208,1,12,11.333333333333334,2,0.3722222222222222,8,0.1969696969696969,4,224,1.0178571428571428,57.0,0.2544642857142857,twill,18,3,0.0172413793103448,0.0666666666666666
twill,69,70,30,1039,0.012560293033208,1,13,23.384615384615383,1,0.2094017094017094,13,0.1794871794871795,2,74,1.0,37.0,0.5,twill,19,2,0.1390728476821192,0.1481481481481481
twill,69,70,30,1039,0.012560293033208,1,12,18.333333333333332,2,0.2666666666666666,8,0.2121212121212121,3,229,1.222707423580786,93.33333333333331,0.4075691411935953,twill,20,2,0.2062146892655367,0.1785714285714285
twill,69,70,30,1039,0.012560293033208,1,13,4.923076923076923,2,0.2153846153846153,7,0.1666666666666666,1,2,1.0,2.0,1.0,twill,21,1,0.0035460992907801,0.2222222222222222
twill,69,70,30,1039,0.012560293033208,1,5,8.0,1,0.0,5,0.4,1,24,1.0,24.0,1.0,twill,22,0,0.0,0.0
twill,69,70,30,1039,0.012560293033208,1,5,17.6,1,0.4333333333333334,5,0.5,2,17,1.0588235294117647,9.0,0.5294117647058824,twill,23,0,0.119047619047619,0.3333333333333333
twill,69,70,30,1039,0.012560293033208,1,7,2.857142857142857,2,0.0,5,0.238095238095238,1,1,1.0,1.0,1.0,twill,24,1,0.0,0.1
twill,69,70,30,1039,0.012560293033208,1,3,4.0,1,0.0,3,0.6666666666666666,2,2,1.0,1.0,0.5,twill,25,0,0.0,0.1428571428571428
twill,69,70,30,1039,0.012560293033208,1,9,12.444444444444445,2,0.4037037037037037,6,0.2777777777777778,4,195,1.0205128205128204,49.75,0.2551282051282051,twill,26,2,0.0099502487562189,0.0833333333333333
